country     ,ds         ,pred_total_revenue ,pred_total_boxes
Australia   ,2025-01-01 ,124540.49346494663 ,3652.385315587995
Australia   ,2025-02-01 ,142416.9818727093  ,3742.4262672359123
Australia   ,2025-03-01 ,148544.42917762313 ,4208.819401879718
Australia   ,2025-04-01 ,121144.08151237971 ,3327.9517560907493
Australia   ,2025-05-01 ,123483.83282722962 ,3528.497923775297
Australia   ,2025-06-01 ,152968.74354982498 ,4204.2333984934485
Australia   ,2025-07-01 ,129724.90760124184 ,3515.857315499151
Australia   ,2025-08-01 ,143523.65053977835 ,3947.8783531785934
Australia   ,2025-09-01 ,153945.86032041398 ,4307.993328282505
Australia   ,2025-10-01 ,142429.5382240865  ,3213.0832175855226
Australia   ,2025-11-01 ,147467.1432293226  ,3679.2649277564924
Australia   ,2025-12-01 ,143995.52472725522 ,3532.0017915548638
Canada      ,2025-01-01 ,141031.75269540248 ,3963.221799041171
Canada      ,2025-02-01 ,143451.72547204432 ,3587.9703852596886
Canada      ,2025-03-01 ,142233.34029344862 ,3429.6306574588352
Canada      ,2025-04-01 ,116795.86115808634 ,3165.821210394703
Canada      ,2025-05-01 ,121844.24858109087 ,3475.0068887560537
Canada      ,2025-06-01 ,138190.03889904328 ,3861.120118042567
Canada      ,2025-07-01 ,157122.16698960264 ,4683.603668176054
Canada      ,2025-08-01 ,134463.25416378616 ,3221.2376806715743
Canada      ,2025-09-01 ,150067.62676851492 ,3822.672273709056
Canada      ,2025-10-01 ,143995.52472725522 ,3641.325336564033
Canada      ,2025-11-01 ,149240.34736482604 ,3912.095983666048
Canada      ,2025-12-01 ,147597.66141007713 ,3955.8212796680946
India       ,2025-01-01 ,145818.4701589588  ,3976.380828572915
India       ,2025-02-01 ,124643.20420545098 ,3031.6686066611624
India       ,2025-03-01 ,139324.41101986647 ,3037.0017774759726
India       ,2025-04-01 ,143290.90103413092 ,3750.3347618570506
India       ,2025-05-01 ,145090.6469106954  ,4255.355079407745
India       ,2025-06-01 ,122675.87196503927 ,3742.3567924743847
India       ,2025-07-01 ,151736.20269106148 ,4346.528491814628
India       ,2025-08-01 ,129724.90760124184 ,3418.8825415634533
India       ,2025-09-01 ,142578.50554732452 ,3663.87816915108
India       ,2025-10-01 ,158520.13100496028 ,4091.1814126397962
India       ,2025-11-01 ,122675.87196503927 ,3148.0727133051478
India       ,2025-12-01 ,130292.52585124846 ,3345.261435424138
New Zealand ,2025-01-01 ,154458.26422204898 ,4452.793351813005
New Zealand ,2025-02-01 ,117749.1051466162  ,3512.155523712357
New Zealand ,2025-03-01 ,121113.91360840926 ,3169.824329597679
New Zealand ,2025-04-01 ,134868.89640868455 ,3305.858927017871
New Zealand ,2025-05-01 ,142783.57288113242 ,3918.006743921122
New Zealand ,2025-06-01 ,147597.66141007713 ,4122.453975637129
New Zealand ,2025-07-01 ,139360.1623855414  ,3495.3710085962057
New Zealand ,2025-08-01 ,144050.9954185921  ,3778.911562337391
New Zealand ,2025-09-01 ,147597.66141007713 ,4028.986247034521
New Zealand ,2025-10-01 ,123739.3924772771  ,3195.629904394167
New Zealand ,2025-11-01 ,142331.68508056758 ,3772.3687852278804
New Zealand ,2025-12-01 ,153431.56243008922 ,3854.7341688048923
UK          ,2025-01-01 ,155132.87129762763 ,4570.0583459886175
UK          ,2025-02-01 ,123455.3916835071  ,3635.02657868799
UK          ,2025-03-01 ,161297.32704695823 ,4064.815951298562
UK          ,2025-04-01 ,123744.07106459733 ,3551.2043932600354
UK          ,2025-05-01 ,146264.68131688202 ,4204.1931959159165
UK          ,2025-06-01 ,128297.24828240392 ,3857.2404568832762
UK          ,2025-07-01 ,165299.67235534557 ,4681.862124791663
UK          ,2025-08-01 ,140084.63048115076 ,3418.8825415634533
UK          ,2025-09-01 ,145575.30585355705 ,3817.433849531325
UK          ,2025-10-01 ,147597.66141007713 ,3855.8996273938574
UK          ,2025-11-01 ,148661.18192231492 ,3955.8212796680946
UK          ,2025-12-01 ,139360.1623855414  ,3195.629904394167
USA         ,2025-01-01 ,148418.95369815113 ,4181.283371920867
USA         ,2025-02-01 ,123118.89377048601 ,3031.3278599064142
USA         ,2025-03-01 ,139324.41101986647 ,3250.180240227985
USA         ,2025-04-01 ,126705.72900478794 ,3777.6737553123335
USA         ,2025-05-01 ,146419.3271810966  ,4119.585319083792
USA         ,2025-06-01 ,129360.76879464176 ,3857.2404568832762
USA         ,2025-07-01 ,165299.67235534557 ,4681.862124791663
USA         ,2025-08-01 ,140084.63048115076 ,3418.8825415634533
USA         ,2025-09-01 ,145575.30585355705 ,3817.433849531325
USA         ,2025-10-01 ,147597.66141007713 ,3855.8996273938574
USA         ,2025-11-01 ,148661.18192231492 ,3955.8212796680946
USA         ,2025-12-01 ,139360.1623855414  ,3195.629904394167
